fips	freq
1139	54001	1
1140	54003	2
1141	54009	2
1142	54011	8
1143	54033	1
1144	54035	7
1145	54037	1
1146	54039	21
1147	54049	4
1148	54057	2
1149	54061	8
1150	54069	1
1151	54079	3
1152	54081	2
1153	54089	2
1154	54097	49
1155	54103	1
1156	54107	1
1157	55009	8
1158	55025	5
1159	55027	1
1160	55029	1
1161	55031	2
1162	55033	1
1163	55035	2
1164	55039	1
1165	55043	1
1166	55055	3
1167	55059	3
1168	55063	4
1169	55067	1
1170	55073	142
1171	55075	2
1172	55079	68
1173	55087	2
1174	55093	1
1175	55097	2
1176	55101	8
1177	55105	8
1178	55111	2
1179	55117	7
1180	55127	4
1181	55131	1
1182	55133	46
1183	55139	11
1184	55141	2
1185	56001	2
1186	56005	1
1187	56013	7
1188	56019	1
1189	56021	5
1190	56025	1
1191	56033	2
1192	NA	2793
